age,employment_type,annual_income,credit_history_years,dependents,education_level,region,total_credit_limit,used_credit,credit_utilization,loan_count,avg_monthly_spend,total_monthly_debt,debt_to_income,savings_rate,missed_payments_12m,job_loss_flag,medical_expense_flag,income_drop_pct,risk_score,risk_class,default_12m
49,salaried,68429,11,0,high_school,metro,48518,25312,0.522,2,3306,2913,0.511,0.42,2,0,0,0.09,0.35,medium,1
32,self_employed,77216,12,2,post_graduate,metro,37709,17292,0.459,1,5298,2444,0.38,0.177,0,0,1,0.03,0.05,low,1
35,salaried,27157,14,0,graduate,urban,8238,2049,0.249,2,1276,683,0.302,0.436,0,0,1,0.09,0.05,low,0
20,salaried,93668,2,1,graduate,rural,48459,8712,0.18,1,5861,3680,0.471,0.249,1,0,0,0.03,0.05,low,0
29,salaried,47026,5,0,graduate,metro,35681,18395,0.516,2,1655,2691,0.687,0.578,3,0,0,0.09,0.7,high,1
36,salaried,64433,6,2,post_graduate,urban,41363,3053,0.074,3,3182,1912,0.356,0.407,1,1,0,0.35,0.3,medium,0
23,self_employed,134069,2,1,high_school,urban,94335,25112,0.266,2,6386,3743,0.335,0.428,2,0,1,0.01,0.35,medium,1
38,salaried,93753,8,0,graduate,urban,110870,15935,0.144,0,6315,2957,0.378,0.192,0,0,0,0.1,0.05,low,0
28,unemployed,52351,8,2,post_graduate,metro,32208,7353,0.228,3,3854,635,0.146,0.117,0,0,0,0.01,0.05,low,0
32,salaried,38345,3,1,graduate,rural,27108,3216,0.119,7,2014,1380,0.432,0.37,0,0,0,0.02,0.05,low,0
28,salaried,20416,7,1,high_school,urban,8578,1302,0.152,2,1382,505,0.297,0.188,0,0,0,0.04,0.05,low,0
53,self_employed,41790,17,4,graduate,urban,14340,2643,0.184,2,2611,601,0.173,0.25,0,0,0,0.1,0.05,low,0
34,self_employed,53875,1,1,graduate,metro,53760,31092,0.578,2,3967,1704,0.38,0.116,0,0,0,0.05,0.05,low,0
24,salaried,36549,2,1,post_graduate,metro,29736,8246,0.277,2,2453,310,0.102,0.195,0,0,0,0.06,0.05,low,0
43,salaried,56070,25,1,post_graduate,metro,55208,14068,0.255,2,2050,1593,0.341,0.561,1,0,0,0.07,0.05,low,0
22,self_employed,62219,3,1,graduate,urban,27057,7533,0.278,1,3923,847,0.163,0.243,1,0,0,0.1,0.05,low,0
37,salaried,53507,10,1,post_graduate,metro,43589,26298,0.603,1,2977,510,0.114,0.332,0,0,0,0.08,0.05,low,0
18,unemployed,43260,1,0,graduate,urban,22853,4006,0.175,3,1471,2143,0.594,0.592,0,0,0,0.02,0.05,low,0
21,unemployed,65142,1,2,high_school,metro,32913,18533,0.563,3,2853,3527,0.65,0.474,2,0,0,0.03,0.7,high,1
36,self_employed,74680,2,1,high_school,urban,23178,13388,0.578,2,5357,1397,0.224,0.139,1,0,0,0.01,0.05,low,0
42,salaried,34710,9,2,graduate,urban,14484,8966,0.619,2,2496,1225,0.424,0.137,2,0,0,0.06,0.35,medium,0
36,self_employed,121232,13,2,high_school,metro,70113,10667,0.152,2,8076,2695,0.267,0.201,2,0,0,0.02,0.35,medium,0
33,salaried,56994,9,0,post_graduate,metro,23093,2740,0.119,0,4231,1881,0.396,0.109,2,1,0,0.42,0.6,high,1
31,salaried,60441,2,0,post_graduate,metro,71759,21351,0.298,3,4045,1823,0.362,0.197,1,0,0,0.09,0.05,low,0
20,salaried,85315,1,0,high_school,urban,49292,25145,0.51,2,2880,1858,0.261,0.595,1,0,0,0.03,0.05,low,0
27,salaried,67279,8,1,graduate,urban,28074,5336,0.19,2,3049,2916,0.52,0.456,0,0,0,0.06,0.05,low,0
30,self_employed,96429,1,0,graduate,metro,46206,3495,0.076,1,3337,1413,0.176,0.585,0,0,0,0.04,0.05,low,0
45,self_employed,69117,15,4,post_graduate,urban,57293,23355,0.408,3,2574,759,0.132,0.553,0,0,1,0.01,0.05,low,0
38,self_employed,44080,10,1,post_graduate,metro,15764,3068,0.195,5,1871,2059,0.561,0.491,0,1,0,0.32,0.3,medium,1
18,salaried,71736,1,2,graduate,metro,77201,41704,0.54,0,3896,2986,0.499,0.348,0,0,0,0.04,0.05,low,0
38,salaried,33797,15,1,post_graduate,metro,39385,25534,0.648,0,2320,1124,0.399,0.176,2,1,0,0.39,0.6,high,1
31,salaried,63213,7,2,graduate,rural,33001,6840,0.207,1,4377,2005,0.381,0.169,0,0,1,0.03,0.05,low,0
28,unemployed,58887,7,1,graduate,metro,41520,10569,0.255,2,3474,1955,0.398,0.292,1,0,0,0.04,0.05,low,0
41,salaried,53956,13,1,high_school,metro,17261,5137,0.298,2,3885,1628,0.362,0.136,1,0,1,0.08,0.05,low,0
45,self_employed,56147,17,3,high_school,metro,49220,25008,0.508,1,3041,1570,0.336,0.35,0,0,0,0.08,0.05,low,0
44,salaried,23366,9,2,graduate,metro,15714,4581,0.292,5,1644,778,0.4,0.156,1,0,0,0.08,0.05,low,0
26,salaried,45507,8,1,high_school,urban,24712,18286,0.74,0,2377,1581,0.417,0.373,3,0,0,0.1,0.35,medium,0
31,self_employed,62719,4,1,high_school,metro,30491,6198,0.203,1,2815,2692,0.515,0.461,2,0,0,0.08,0.35,medium,0
38,salaried,64856,18,0,graduate,metro,57632,28728,0.498,2,4638,2846,0.527,0.142,0,0,0,0.04,0.05,low,1
44,self_employed,35816,13,1,high_school,urban,24161,16864,0.698,2,1772,974,0.326,0.406,0,0,0,0.08,0.05,low,0
30,unemployed,112741,9,1,graduate,metro,52051,23362,0.449,3,6122,3270,0.348,0.348,0,0,0,0.05,0.05,low,0
33,salaried,38828,15,2,graduate,urban,35729,8020,0.224,0,1826,1049,0.324,0.436,0,0,0,0.03,0.05,low,0
23,salaried,97219,4,0,post_graduate,urban,78607,4441,0.056,2,5925,3418,0.422,0.269,0,0,0,0.03,0.05,low,0
23,salaried,74131,4,1,graduate,metro,79528,50324,0.633,0,5544,2298,0.372,0.103,1,1,0,0.44,0.3,medium,1
43,unemployed,43342,6,3,high_school,urban,17585,6101,0.347,1,1490,2289,0.634,0.587,0,0,0,0.01,0.4,medium,1
48,salaried,145459,19,3,graduate,metro,146491,45369,0.31,4,10302,6276,0.518,0.15,3,1,1,0.37,0.6,high,0
34,salaried,32964,12,2,post_graduate,urban,29870,26998,0.904,6,1104,1755,0.639,0.598,0,0,0,0.01,0.65,high,1
45,salaried,94804,7,3,post_graduate,urban,38254,22478,0.588,0,4598,4151,0.525,0.418,0,0,0,0.09,0.05,low,0
38,self_employed,98744,3,2,graduate,metro,91371,40751,0.446,3,3985,5616,0.682,0.516,0,0,0,0.09,0.4,medium,1
28,salaried,42816,2,0,graduate,urban,29859,11641,0.39,0,2778,1717,0.481,0.221,0,0,0,0.06,0.05,low,1
38,self_employed,120118,16,2,post_graduate,rural,138194,67765,0.49,0,4257,6787,0.678,0.575,0,0,0,0.08,0.4,medium,0
50,unemployed,52837,23,0,high_school,rural,22585,6295,0.279,1,2979,858,0.195,0.323,1,0,0,0.02,0.05,low,0
34,salaried,69171,7,1,graduate,urban,60770,9198,0.151,4,3155,757,0.131,0.453,0,0,0,0.09,0.05,low,0
50,salaried,68197,4,1,graduate,urban,43904,27133,0.618,3,2653,2543,0.447,0.533,0,0,0,0.05,0.05,low,0
18,unemployed,55985,1,0,high_school,metro,65006,27389,0.421,0,3666,3219,0.69,0.214,1,0,0,0.01,0.4,medium,1
43,salaried,89805,25,0,graduate,metro,53611,11223,0.209,0,3807,2623,0.35,0.491,0,0,0,0.01,0.05,low,0
35,self_employed,89031,8,1,high_school,urban,103807,49669,0.478,0,3797,1685,0.227,0.488,0,0,0,0.03,0.05,low,0
32,salaried,24977,13,1,graduate,metro,27757,3062,0.11,2,1118,859,0.413,0.463,0,0,0,0.0,0.05,low,0
35,salaried,114940,13,1,post_graduate,rural,62452,39714,0.636,4,6641,4686,0.489,0.307,0,0,0,0.03,0.05,low,0
18,self_employed,26075,1,1,high_school,metro,26679,17960,0.673,2,1585,628,0.289,0.271,0,0,0,0.01,0.05,low,0
32,salaried,100335,1,1,post_graduate,metro,120005,53136,0.443,3,3418,4421,0.529,0.591,0,0,1,0.02,0.05,low,0
38,salaried,105172,17,0,high_school,metro,55467,10641,0.192,0,4565,6004,0.685,0.479,1,0,0,0.03,0.4,medium,0
49,salaried,34700,5,2,graduate,rural,24050,4106,0.171,3,1779,1845,0.638,0.385,1,0,0,0.1,0.4,medium,0
29,salaried,48756,6,2,high_school,urban,37452,21056,0.562,5,2299,1117,0.275,0.434,0,0,0,0.02,0.05,low,0
26,salaried,34445,3,0,post_graduate,urban,19476,11819,0.607,2,2417,849,0.296,0.158,0,0,0,0.02,0.05,low,0
29,salaried,53773,9,0,post_graduate,metro,16870,14093,0.835,4,3557,1447,0.323,0.206,0,0,1,0.07,0.3,medium,1
44,unemployed,51327,26,0,graduate,rural,25566,10913,0.427,2,3049,1440,0.337,0.287,0,1,1,0.2,0.3,medium,0
38,salaried,88417,14,2,post_graduate,metro,48960,15160,0.31,3,4192,1180,0.16,0.431,0,0,0,0.04,0.05,low,0
29,self_employed,115284,6,2,graduate,rural,80611,30474,0.378,1,7208,5352,0.557,0.25,2,0,0,0.09,0.35,medium,0
40,salaried,120311,4,0,post_graduate,urban,54620,16837,0.308,1,8239,3200,0.319,0.178,0,0,0,0.03,0.05,low,1
35,self_employed,45202,7,0,graduate,metro,49086,8311,0.169,1,2627,2365,0.628,0.303,1,0,0,0.02,0.4,medium,0
44,salaried,53927,8,0,post_graduate,urban,50390,25094,0.498,5,3560,2948,0.656,0.208,1,0,1,0.03,0.4,medium,0
27,unemployed,25803,9,0,graduate,urban,9719,3806,0.392,2,1665,246,0.114,0.226,0,0,0,0.06,0.05,low,0
31,salaried,40017,13,1,high_school,metro,35418,19684,0.556,3,2287,2311,0.693,0.314,1,0,0,0.04,0.4,medium,0
31,salaried,96996,11,2,graduate,rural,86160,27658,0.321,0,4494,4251,0.526,0.444,0,0,0,0.07,0.05,low,0
20,salaried,134294,2,1,high_school,urban,155861,45343,0.291,1,8649,4613,0.412,0.227,0,1,0,0.56,0.3,medium,0
37,salaried,32300,6,1,graduate,metro,9777,6093,0.623,3,1354,898,0.334,0.497,0,0,1,0.07,0.05,low,0
37,salaried,44523,3,0,graduate,metro,23291,7615,0.327,2,2930,1525,0.411,0.21,2,0,0,0.03,0.35,medium,0
35,salaried,59088,3,0,graduate,urban,67065,16257,0.242,1,3950,1451,0.295,0.198,0,0,0,0.05,0.05,low,0
32,self_employed,68877,13,2,high_school,urban,78445,41421,0.528,1,4655,2718,0.474,0.189,1,1,0,0.48,0.3,medium,0
20,salaried,39942,2,1,high_school,urban,37886,15308,0.404,1,2118,518,0.156,0.364,0,0,0,0.07,0.05,low,0
30,salaried,74015,2,0,graduate,urban,73214,52418,0.716,1,3060,2915,0.473,0.504,0,0,1,0.02,0.05,low,0
31,salaried,47243,6,1,post_graduate,urban,18062,9564,0.53,1,1771,1044,0.265,0.55,1,0,1,0.08,0.05,low,0
26,self_employed,59443,8,0,graduate,rural,45324,13900,0.307,2,3822,547,0.11,0.228,2,0,1,0.07,0.35,medium,0
33,salaried,78679,13,3,graduate,urban,40002,5377,0.134,2,5528,2829,0.431,0.157,1,0,0,0.02,0.05,low,0
39,salaried,60066,6,1,graduate,rural,27816,10008,0.36,0,3631,2237,0.447,0.275,0,0,0,0.1,0.05,low,0
53,salaried,48137,8,0,graduate,metro,49546,28461,0.574,1,1893,1427,0.356,0.528,2,0,0,0.07,0.35,medium,0
36,self_employed,56681,8,0,high_school,metro,23892,8021,0.336,1,4097,677,0.143,0.133,0,0,0,0.05,0.05,low,0
37,self_employed,57286,6,2,graduate,metro,41348,19983,0.483,4,4270,3036,0.636,0.106,0,0,0,0.02,0.4,medium,0
34,salaried,49761,14,2,high_school,urban,56962,28839,0.506,1,2557,1935,0.467,0.383,0,0,0,0.05,0.05,low,0
18,self_employed,52606,1,0,post_graduate,rural,24580,10933,0.445,1,3057,742,0.169,0.303,0,0,0,0.02,0.05,low,0
34,self_employed,133162,16,1,high_school,metro,157157,58403,0.372,0,8751,4511,0.407,0.211,1,0,0,0.04,0.05,low,0
35,salaried,79257,3,1,graduate,metro,94700,40025,0.423,0,5073,2631,0.398,0.232,3,0,0,0.04,0.35,medium,1
59,self_employed,51650,10,2,high_school,rural,41322,10400,0.252,1,3804,586,0.136,0.116,1,0,0,0.07,0.05,low,0
33,salaried,84836,3,1,high_school,metro,38441,14584,0.379,4,3233,3281,0.464,0.543,0,0,1,0.02,0.05,low,0
38,salaried,50670,12,1,post_graduate,urban,29616,4639,0.157,1,2915,2470,0.585,0.31,1,0,0,0.08,0.05,low,0
34,salaried,107641,1,1,high_school,urban,73415,52496,0.715,1,6691,4928,0.549,0.254,0,1,0,0.38,0.3,medium,1
23,salaried,72028,3,2,high_school,rural,41660,11641,0.279,1,5072,1331,0.222,0.155,3,0,1,0.04,0.35,medium,1
46,salaried,56746,5,3,graduate,metro,31356,20301,0.647,1,3958,2919,0.617,0.163,0,0,0,0.08,0.4,medium,1
42,unemployed,74896,20,1,high_school,metro,88003,70548,0.802,1,5548,1906,0.305,0.111,1,0,0,0.06,0.3,medium,1
42,salaried,27297,9,1,high_school,urban,11956,8617,0.721,0,1492,1519,0.668,0.344,1,0,0,0.03,0.4,medium,0
25,salaried,34085,7,1,post_graduate,rural,32721,5970,0.182,1,2316,406,0.143,0.185,0,0,0,0.04,0.05,low,0
49,salaried,32959,30,1,post_graduate,urban,9899,3253,0.329,1,1685,1075,0.391,0.387,1,0,0,0.03,0.05,low,0
20,unemployed,64310,1,1,post_graduate,metro,53799,18612,0.346,3,3275,2455,0.458,0.389,0,0,1,0.06,0.05,low,1
40,salaried,142380,20,0,post_graduate,urban,160084,65080,0.407,5,6248,2949,0.249,0.473,0,0,0,0.03,0.05,low,0
56,salaried,182709,22,0,graduate,rural,102160,69742,0.683,7,12319,8569,0.563,0.191,1,0,0,0.07,0.05,low,0
25,salaried,82374,4,4,high_school,rural,38466,12371,0.322,5,6129,3268,0.476,0.107,0,0,0,0.06,0.05,low,0
29,salaried,76912,10,1,post_graduate,rural,68183,26371,0.387,0,3385,710,0.111,0.472,0,0,0,0.01,0.05,low,0
35,unemployed,24330,17,1,post_graduate,metro,22902,12325,0.538,3,867,942,0.465,0.572,0,0,0,0.03,0.05,low,0
29,unemployed,45645,4,1,post_graduate,metro,41958,22326,0.532,4,3072,1502,0.395,0.192,0,0,0,0.02,0.05,low,0
19,salaried,40380,1,1,graduate,urban,23718,12037,0.508,1,2389,732,0.218,0.29,1,0,0,0.04,0.05,low,0
35,unemployed,43895,13,1,high_school,rural,23131,5771,0.249,1,3218,2551,0.697,0.12,0,0,0,0.05,0.4,medium,0
24,salaried,55046,1,1,post_graduate,metro,63871,10682,0.167,4,2413,2927,0.638,0.474,0,0,0,0.05,0.4,medium,0
39,self_employed,47285,4,1,graduate,metro,53477,15542,0.291,1,1716,1085,0.275,0.565,0,0,0,0.08,0.05,low,0
25,salaried,22255,1,1,post_graduate,urban,15836,8521,0.538,0,1198,787,0.424,0.354,0,0,0,0.02,0.05,low,0
50,salaried,87025,1,1,high_school,metro,92383,39422,0.427,1,3210,2102,0.29,0.557,1,0,0,0.09,0.05,low,0
27,salaried,35018,1,3,high_school,metro,24760,9983,0.403,2,1549,1649,0.565,0.469,0,0,0,0.03,0.05,low,0
31,self_employed,67482,8,1,high_school,urban,46019,13884,0.302,0,2603,3701,0.658,0.537,1,0,0,0.03,0.4,medium,0
43,salaried,168896,8,0,post_graduate,urban,74497,57407,0.771,3,7207,4437,0.315,0.488,1,0,1,0.07,0.3,medium,0
22,salaried,37809,2,0,high_school,urban,25852,18927,0.732,2,1427,1837,0.583,0.547,0,0,1,0.08,0.05,low,0
37,salaried,16896,13,1,high_school,metro,13240,4849,0.366,5,1234,561,0.398,0.124,1,1,0,0.26,0.3,medium,0
48,self_employed,51896,23,1,post_graduate,urban,16619,2334,0.14,3,2332,1461,0.338,0.461,1,0,0,0.07,0.05,low,0
18,salaried,103826,1,0,high_school,urban,72647,65670,0.904,3,5381,5736,0.663,0.378,1,0,0,0.09,0.65,high,1
36,self_employed,159400,14,1,post_graduate,urban,159913,148124,0.926,1,11281,5396,0.406,0.151,1,0,0,0.08,0.3,medium,0
37,unemployed,32377,8,1,graduate,urban,29529,20328,0.688,2,1992,1026,0.38,0.262,1,0,0,0.0,0.05,low,0
42,salaried,76753,8,2,post_graduate,metro,66901,21289,0.318,4,4534,3220,0.503,0.291,0,0,0,0.08,0.05,low,0
22,self_employed,47445,3,1,graduate,metro,53071,20675,0.39,2,2976,1015,0.257,0.247,0,1,0,0.45,0.3,medium,0
21,salaried,56784,2,2,post_graduate,metro,17956,10375,0.578,1,3853,1395,0.295,0.186,0,0,0,0.07,0.05,low,0
40,self_employed,224621,15,2,post_graduate,metro,179998,62076,0.345,2,15701,12339,0.659,0.161,1,0,0,0.08,0.4,medium,1
37,salaried,28240,13,0,high_school,urban,28483,13121,0.461,5,1697,1193,0.507,0.279,0,1,0,0.5,0.3,medium,0
37,self_employed,67973,7,3,high_school,rural,53508,9258,0.173,3,4786,3375,0.596,0.155,1,0,0,0.04,0.05,low,0
38,self_employed,75648,5,2,high_school,urban,44746,27640,0.618,1,4209,1655,0.263,0.332,0,0,0,0.01,0.05,low,0
28,unemployed,103042,1,2,graduate,urban,43548,23891,0.549,4,4625,3660,0.426,0.461,1,1,0,0.35,0.3,medium,1
37,self_employed,62880,16,0,post_graduate,metro,69092,24496,0.355,0,4401,3578,0.683,0.16,1,0,1,0.0,0.4,medium,1
37,salaried,69844,2,0,graduate,urban,50545,7379,0.146,2,3903,1695,0.291,0.329,0,0,0,0.03,0.05,low,0
27,salaried,49225,6,0,graduate,metro,53670,14785,0.275,2,3499,805,0.196,0.147,1,0,1,0.06,0.05,low,0
53,self_employed,68498,18,1,high_school,metro,56666,10291,0.182,2,2397,2320,0.406,0.58,1,0,0,0.03,0.05,low,0
39,salaried,50433,17,1,post_graduate,metro,45731,25977,0.568,5,2516,1398,0.333,0.401,0,0,0,0.07,0.05,low,0
23,salaried,81698,5,1,post_graduate,urban,83645,30323,0.363,1,5949,1332,0.196,0.126,0,0,0,0.08,0.05,low,0
41,unemployed,49771,18,0,high_school,rural,44457,26187,0.589,1,2176,2625,0.633,0.475,0,0,0,0.04,0.4,medium,1
25,self_employed,72297,5,0,graduate,metro,47589,4781,0.1,1,5246,4183,0.694,0.129,1,0,0,0.09,0.4,medium,0
42,self_employed,59004,14,1,high_school,metro,44976,26207,0.583,1,4311,2169,0.441,0.123,0,0,0,0.01,0.05,low,0
46,salaried,105137,18,0,graduate,urban,107527,49198,0.458,2,7368,4948,0.565,0.159,1,0,0,0.08,0.05,low,0
26,self_employed,58355,5,2,graduate,metro,37130,19074,0.514,3,3315,2992,0.615,0.318,0,1,0,0.53,0.65,high,1
44,salaried,24673,11,4,high_school,rural,16020,3442,0.215,3,1487,1070,0.52,0.277,1,1,0,0.56,0.3,medium,0
39,self_employed,112528,21,0,graduate,urban,43449,16150,0.372,2,7828,1186,0.126,0.165,1,1,0,0.3,0.3,medium,0
43,salaried,38068,21,2,graduate,rural,42755,15072,0.353,1,2499,617,0.194,0.212,0,0,0,0.03,0.05,low,0
53,self_employed,43179,17,4,graduate,urban,16491,9449,0.573,1,2572,513,0.143,0.285,1,0,0,0.08,0.05,low,0
32,unemployed,44452,8,0,graduate,urban,39268,5987,0.152,4,3301,392,0.106,0.109,1,0,0,0.08,0.05,low,0
27,salaried,119040,3,1,high_school,urban,79980,13951,0.174,2,7368,2813,0.284,0.257,0,0,0,0.03,0.05,low,0
26,unemployed,20581,4,0,post_graduate,urban,13687,2275,0.166,1,1522,575,0.335,0.113,0,0,0,0.06,0.05,low,0
26,salaried,287470,7,1,graduate,urban,262056,38632,0.147,1,10269,5860,0.245,0.571,0,0,0,0.01,0.05,low,0
34,self_employed,101521,9,0,graduate,metro,36586,5790,0.158,5,3971,1173,0.139,0.531,1,0,0,0.05,0.05,low,0
38,self_employed,66944,20,0,high_school,urban,55853,20869,0.374,1,3490,2331,0.418,0.374,1,1,0,0.44,0.3,medium,0
37,salaried,58253,10,2,post_graduate,urban,57951,25258,0.436,2,2875,1281,0.264,0.408,0,0,0,0.02,0.05,low,0
43,self_employed,69063,12,0,post_graduate,rural,72197,10781,0.149,4,4554,3324,0.578,0.209,1,0,1,0.09,0.05,low,0
35,self_employed,77696,1,2,high_school,urban,35233,13285,0.377,2,3109,678,0.105,0.52,1,0,0,0.08,0.05,low,0
49,salaried,82669,25,1,graduate,urban,91570,40598,0.443,2,6117,4171,0.605,0.112,0,0,0,0.1,0.4,medium,0
32,salaried,79047,4,3,high_school,metro,70393,41241,0.586,1,3672,4432,0.673,0.443,2,0,0,0.02,0.7,high,1
62,self_employed,62616,9,4,graduate,urban,68481,5201,0.076,1,3206,2763,0.53,0.386,0,0,0,0.02,0.05,low,0
41,self_employed,54248,22,0,high_school,urban,39967,17985,0.45,1,2429,2442,0.54,0.463,0,0,0,0.0,0.05,low,0
26,self_employed,55512,7,2,graduate,rural,43734,19548,0.447,2,3190,3053,0.66,0.31,0,0,0,0.07,0.4,medium,0
24,self_employed,54314,1,0,graduate,rural,61219,23680,0.387,2,1943,1020,0.225,0.571,0,0,0,0.06,0.05,low,0
39,salaried,105544,12,1,graduate,metro,117145,27948,0.239,0,4176,6128,0.697,0.525,0,1,1,0.32,0.65,high,0
32,self_employed,80561,3,1,graduate,rural,56662,8809,0.155,3,5188,3786,0.564,0.227,1,0,0,0.08,0.05,low,0
42,salaried,13763,11,1,graduate,metro,7527,874,0.116,3,565,614,0.535,0.507,1,0,1,0.03,0.05,low,0
39,salaried,83112,2,1,graduate,metro,54343,29749,0.547,1,3585,2193,0.317,0.482,1,0,0,0.01,0.05,low,0
34,salaried,65997,16,0,high_school,urban,42831,5586,0.13,3,4380,2350,0.427,0.204,4,0,0,0.04,0.35,medium,1
26,salaried,59316,1,2,high_school,metro,33109,4987,0.151,4,2207,2433,0.492,0.554,0,0,0,0.01,0.05,low,0
19,salaried,49303,1,3,post_graduate,urban,26708,11191,0.419,4,2542,1940,0.472,0.381,0,0,0,0.03,0.05,low,1
30,salaried,105035,12,2,high_school,metro,112908,5807,0.051,2,3602,4577,0.523,0.588,0,0,0,0.04,0.05,low,0
43,self_employed,96159,1,0,graduate,metro,34893,17613,0.505,1,4594,1197,0.149,0.427,0,0,0,0.09,0.05,low,0
37,salaried,40682,13,1,post_graduate,urban,37014,10222,0.276,0,2540,1062,0.313,0.251,1,0,0,0.08,0.05,low,0
22,salaried,73388,2,0,high_school,urban,33431,18186,0.544,3,2721,2204,0.36,0.555,1,0,0,0.04,0.05,low,0
36,salaried,36833,8,1,graduate,rural,22470,5392,0.24,2,2591,786,0.256,0.156,0,0,0,0.07,0.05,low,0
38,salaried,30037,8,1,graduate,urban,10674,3632,0.34,0,2139,509,0.203,0.145,1,0,0,0.06,0.05,low,0
26,salaried,43767,3,3,post_graduate,urban,23764,10972,0.462,5,1650,668,0.183,0.548,1,1,0,0.24,0.3,medium,1
36,salaried,92152,12,3,post_graduate,metro,91375,62804,0.687,4,6875,2456,0.32,0.105,0,0,0,0.07,0.05,low,0
35,salaried,96429,1,2,graduate,metro,105735,27863,0.264,1,4409,3182,0.396,0.451,0,1,1,0.49,0.3,medium,0
23,self_employed,77384,3,0,high_school,metro,38643,8855,0.229,4,2850,888,0.138,0.558,0,0,0,0.06,0.05,low,0
38,salaried,86038,8,1,graduate,urban,61705,10186,0.165,3,2886,4788,0.668,0.597,1,0,0,0.06,0.4,medium,1
40,salaried,77504,10,1,graduate,urban,56057,20958,0.374,4,3902,3611,0.559,0.396,0,0,0,0.07,0.05,low,0
45,salaried,43445,19,2,graduate,urban,47190,26947,0.571,3,2588,1949,0.538,0.285,1,0,1,0.04,0.05,low,0
45,self_employed,74307,11,3,high_school,urban,73305,38318,0.523,1,3505,1261,0.204,0.434,3,0,0,0.09,0.35,medium,0
21,salaried,89340,3,1,high_school,urban,68056,37850,0.556,3,6092,3441,0.462,0.182,0,0,0,0.02,0.05,low,0
25,salaried,87303,3,3,post_graduate,metro,78893,46863,0.594,2,5516,3039,0.418,0.242,1,0,0,0.09,0.05,low,0
40,salaried,108494,17,1,graduate,metro,115287,29306,0.254,2,5199,6233,0.689,0.425,1,1,0,0.45,0.65,high,1
40,salaried,85318,1,0,graduate,rural,26327,617,0.023,2,5454,3900,0.549,0.233,2,0,0,0.01,0.35,medium,0
40,salaried,71376,21,2,graduate,urban,47293,12273,0.26,1,5176,2649,0.445,0.13,0,0,0,0.06,0.05,low,1
70,salaried,102239,21,1,post_graduate,rural,114151,64173,0.562,5,3804,5201,0.61,0.554,2,0,0,0.04,0.7,high,1
40,salaried,59085,8,2,graduate,metro,57092,10611,0.186,4,2723,950,0.193,0.447,0,0,1,0.08,0.05,low,0
